记住这条：MEM-001 主题=alpha_window 阈值=11 负责人=owner01 城市对=AAA-BBB。
记住这条：MEM-050 主题=allotment_release 阈值=60 负责人=owner50 城市对=XXY-YYZ。
记住这条：MEM-051 主题=promo_gate 阈值=61 负责人=owner51 城市对=YYZ-ZZA。
记住这条：MEM-052 主题=overbook_buffer 阈值=62 负责人=owner52 城市对=ZZA-AAC。
记住这条：MEM-053 主题=noshow_bias 阈值=63 负责人=owner53 城市对=AAC-BBD。
记住这条：MEM-054 主题=cancellation_band 阈值=64 负责人=owner54 城市对=BBD-CCE。
记住这条：MEM-055 主题=group_ladder 阈值=65 负责人=owner55 城市对=CCE-DDF。
记住这条：MEM-056 主题=married_segment 阈值=66 负责人=owner56 城市对=DDF-EEG。
记住这条：MEM-057 主题=history_weight 阈值=67 负责人=owner57 城市对=EEG-FFH。
记住这条：MEM-058 主题=shoulder_reopen 阈值=68 负责人=owner58 城市对=FFH-GGI。
记住这条：MEM-059 主题=late_booking 阈值=69 负责人=owner59 城市对=GGI-HHJ。
记住这条：MEM-060 主题=weekend_smoothing 阈值=70 负责人=owner60 城市对=HHJ-IIK。
